==============RAY TRACER V1.0===============
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 30
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 29
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 40
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 36
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 34
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 35
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 37
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 33
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
FPS : 32
