==============RAY TRACER V1.0===============
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 0
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 23
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 21
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 20
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 19
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
FPS : 18
